feature,importance
mean_var_num,0.12914991170877185
n_var_tokens,0.11483629109138305
n_semicolons,0.09821170666323459
max_var_num,0.08790442371848572
n_func_calls,0.07624066147699451
str_var_ratio,0.0743358875607683
n_unique_func_calls,0.0672691792177504
n_if,0.06169766034860492
n_return,0.04403695213305319
n_str_tokens,0.043892127243022695
n_fmt_calls,0.028106254402679463
n_loops,0.0280266039047272
fmt_var_then_call,0.014937894138982671
fmt_sink_diversity,0.011313913858765767
has_null_check,0.010096524623434012
any_fmt_str,0.007433064163936674
is_wide_char,0.007374856683180744
has_fprintf,0.006997637733592917
any_fmt_var,0.006844096505383639
fmt_var_ratio,0.0060318750858998505
safe_only_pattern,0.00593875019295167
taint_to_printf_chain,0.005822680667611486
has_sizeof_guard,0.005052655261376785
has_snprintf,0.004949617435060552
fprintf_str_fmt,0.004949328746791105
has_snprintf_guard,0.0046300660984714154
has_printf,0.004618637601515593
has_wprintf,0.004270712653572795
fprintf_var_fmt,0.00420993304059048
indirect_fmt_call,0.00418222087987922
taint_source_count,0.004067648081129042
has_sprintf,0.0034962725642420033
printf_var_fmt,0.0034664040049041753
printf_str_fmt,0.0031350993815040646
taint_sink_cooccur,0.0028487582844936798
n_taint_sources,0.002684761246463663
taint_source_before_fmt,0.002147972080316398
has_vprintf,0.0018006415053246456
has_fgets,0.0017364869319955315
has_gets,0.0011845236604889398
has_vsprintf,6.930741866461076e-05
has_syslog,0.0
has_scanf,0.0
has_read,0.0
has_recv,0.0
has_getenv,0.0
var_assigned_from_taint,0.0
n_dataflow_steps,0.0
